,Unnamed: 0,date_publish,price_sell,price_per_area,building_age,num_bedrooms,area,id_city,id_neighbourhood,id_sub_neighbourhood,id_location,floor,parking,elevator,storeHouse,toiletF,balcony,is_luxury,is_modern,janitor,master_room,roofGarden,pool,sauna,jacuzzi,alachiq,fountain,security,pasio,idFacing,gym
89,236,2026-05-11,162.0,0.648,5.0,3.0,250.0,641,31.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,244,2026-04-21,19.47,0.1533070866141732,1.0,2.0,127.0,641,125.0,0.0,0.0,5.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,255,2026-04-11,31.0,0.2296296296296296,10.0,3.0,135.0,641,251.0,0.0,0.0,4.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,283,2026-04-20,12.0,0.1081081081081081,25.0,2.0,111.0,641,1470.0,0.0,0.0,4.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,284,2026-04-20,19.95,0.3439655172413793,1.0,1.0,58.0,641,40.0,0.0,0.0,5.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,294,2026-04-14,20.0,0.1818181818181818,1.0,2.0,110.0,641,166.0,0.0,0.0,4.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,303,2026-04-14,40.0,0.2857142857142857,3.0,2.0,140.0,641,83.0,0.0,0.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,304,2026-04-14,12.7,0.254,22.0,1.0,50.0,641,111.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,315,2026-06-16,36.5,0.3041666666666666,1.0,3.0,120.0,641,277.0,0.0,0.0,4.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,317,2026-06-16,12.5,0.119047619047619,25.0,2.0,105.0,641,48.0,681.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,320,2026-06-13,16.0,0.2352941176470588,17.0,2.0,68.0,641,60.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,326,2026-06-16,16.0,0.2461538461538461,12.0,1.0,65.0,641,219.0,0.0,0.0,2.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,327,2026-05-23,20.5,0.2411764705882353,7.0,2.0,85.0,641,70.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,328,2026-04-20,21.9,0.2046728971962616,1.0,2.0,107.0,641,137.0,0.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,329,2026-05-20,5.0,0.0555555555555555,5.0,2.0,90.0,641,1421.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,330,2026-05-23,20.5,0.2411764705882353,7.0,2.0,85.0,641,70.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,331,2026-05-20,5.0,0.0555555555555555,5.0,2.0,90.0,641,1421.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,336,2026-04-14,24.7,0.26,1.0,2.0,95.0,641,259.0,0.0,0.0,4.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,337,2026-04-14,47.5,0.25,13.0,4.0,190.0,641,248.0,0.0,0.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,338,2026-04-14,5.2,0.1083333333333333,17.0,1.0,48.0,641,166.0,0.0,0.0,2.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,350,2026-04-11,14.5,0.2071428571428571,25.0,2.0,70.0,641,52.0,0.0,0.0,4.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,351,2026-04-11,6.8,0.1172413793103448,20.0,1.0,58.0,641,257.0,0.0,0.0,2.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,352,2026-04-11,9.2,0.1210526315789473,8.0,2.0,76.0,641,233.0,0.0,0.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,358,2026-04-11,5.6,0.1018181818181818,10.0,1.0,55.0,641,140.0,0.0,0.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,366,2026-06-16,21.5,0.1228571428571428,1.0,3.0,175.0,641,674.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,367,2026-06-16,16.5,0.1701030927835051,20.0,2.0,97.0,641,118.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,389,2026-04-09,12.0,0.2,10.0,1.0,60.0,641,52.0,0.0,0.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,392,2026-04-11,2.66,0.028,1.0,2.0,95.0,641,145.0,0.0,0.0,10.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,393,2026-04-11,6.9,0.0958333333333333,13.0,2.0,72.0,641,140.0,0.0,0.0,4.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
